data,longitude,latitude,magnitude,regiao
2021-08-09T18:41:01.0Z,-59608,2815,3.9,Guyana
2021-08-09T17:00:10.156Z,-35788,-8263,1.9,Bezerros/PE
2021-08-09T03:40:19.644Z,-36376,-9412,1.7,Mar Vermelho/AL
2021-08-07T10:24:24.970Z,-37351,-9782,2.1,Pão de Açúcar/AL
2021-08-05T18:07:40.477Z,-38639,-7095,1.7,Barro/PB
2021-08-03T09:04:20.147Z,-40109,-3821,2.7,Forquilha/CE
2021-08-03T06:45:59.9Z,-36850,-9931,2.1,Canhoba/SE
2021-08-03T02:57:50.810Z,-35258,-8181,2.0,Vitória de Santo Antão/PE
2021-08-02T03:59:51.3Z,-39935,-9838,3.2,Uauá/BA
2021-07-30T00:16:29.424Z,-45486,-19524,2.3,Dores do Indaiá/MG
2021-07-29T11:45:39.782Z,-47280,-20021,2.8,Sacramento/MG
2021-07-25T20:15:20.822Z,-35274,-5048,2.3,Plataf. Cont. em frente/RN
2021-07-25T18:07:33.970Z,-35263,-5051,2.3,Plataf. Cont. em frente/RN
2021-07-25T17:17:16.583Z,-39753,-9625,1.9,Rg.de Uauá/Jaguarari/BA
2021-07-25T15:49:32.834Z,-35240,-5107,2.4,Plataf. Cont. em frente/RN
2021-07-25T04:57:45.703Z,-35214,-5118,2.7,Plataf. Cont. em frente/RN
2021-07-25T04:24:55.61Z,-35195,-5151,1.5,Plataf. Cont. em frente/RN
2021-07-25T03:53:22.196Z,-35234,-5102,2.0,Plataf. Cont. em frente/RN
2021-07-25T03:26:59.534Z,-35269,-5091,3.5,Plataf. Cont. em frente/RN
2021-07-25T03:06:32.217Z,-35229,-5100,2.9,Plataf. Cont. em frente/RN
2021-07-19T04:39:33.328Z,-35257,-5048,1.9,Plataf. Cont. em frente/RN
2021-07-13T23:14:30.547Z,-40787,-19179,1.4,Pancas/ES
2021-07-12T11:56:13.61Z,-35241,-5007,1.9,Plataf. Cont. em frente/RN
2021-07-08T14:15:42.643Z,-37530,-5714,1.6,Caraúbas/RN
2021-07-07T00:05:13.0Z,-40137,-11607,1.4,Varzea da Roça/BA
2021-07-06T19:09:45.266Z,-37474,-6142,1.8,Messias Targino/RN
2021-07-06T14:40:50.867Z,-39805,-2646,1.8,Margem Cont.-Itarema/CE
2021-07-06T06:40:35.0Z,-59485,2336,3.6,Guyana
2021-07-06T04:46:59.457Z,-39660,-2852,1.6,Margem Cont.-Itarema/CE
2021-07-04T20:24:02.984Z,-39919,-4354,2.0,Santa Quiteria/CE
2021-07-04T16:55:48.907Z,-46095,-21336,2.3,Areado/MG
2021-07-02T21:45:36.875Z,-36502,-8706,1.5,Jucati/PE
2021-07-02T20:45:48.222Z,-36087,-5541,2.1,Pedra Preta/RN
2021-07-02T14:48:15.0Z,-40650,-3749,1.9,Coreaú/CE
2021-07-02T14:39:41.0Z,-40390,-3855,1.8,Groaíras/CE
2021-07-01T15:05:14.773Z,-36683,-9697,2.1,Arapiraca/AL
2021-07-01T10:12:06.0Z,-48030,-19000,2.4,Indianópolis/MG
2021-07-01T04:01:54.86Z,-59564,2685,2.5,Guyana
2021-06-28T06:01:57.920Z,-37507,-5710,2.1,Caraubas/RN
2021-06-24T02:27:28.721Z,-37538,-5705,2.7,Caraubas/RN
2021-06-22T16:30:13.60Z,-50560,-5673,3.4,Parauapebas/PA
2021-06-18T04:49:03.692Z,-57996,-14757,1.8,Tangará da Serra/MT
2021-06-17T19:31:28.694Z,-37526,-5698,2.1,Caraubas/RN
2021-06-15T19:57:36.189Z,-39554,-2780,2.4,Margem Cont. Itarema/CE
2021-06-15T18:09:21.0Z,-40416,-11194,1.9,Jacobina/BA
2021-06-15T09:52:04.769Z,-59566,2688,3.5,Guyana
2021-06-14T04:51:52.950Z,-39457,-5067,1.5,Quixeramobim/CE
2021-06-13T17:05:07.823Z,-59048,-15308,2.5,Vale de Sao Domingos/MT
2021-06-13T08:25:33.0Z,-44755,-27116,3.3,Margem Cont. Blumenau/SC
2021-06-13T03:32:15.167Z,-59515,2285,3.4,Guyana
2021-06-10T08:06:39.0Z,-40516,-11187,1.3,Jacobina/BA
2021-06-10T01:40:44.0Z,-40515,-11191,1.3,Jacobina/BA
2021-06-08T08:31:24.422Z,-50845,-16639,2.3,Ivolandia/GO
2021-06-08T02:28:53.865Z,-62271,1025,3.5,Reg. de Rorainópolis/RR
2021-06-07T10:08:09.317Z,-40042,-4058,2.4,Tejuçuoca/CE
2021-06-07T04:34:50.97Z,-39841,-20338,2.6,Margem Continental/ES
2021-06-07T01:35:07.657Z,-39415,-4477,1.7,Canindé/CE
2021-06-07T01:32:11.0Z,-40521,-11184,1.0,Jacobina/BA
2021-06-05T23:36:57.0Z,-39559,-13061,1.7,Amargosa/BA
2021-06-04T14:21:12.694Z,-37535,-5702,2.0,Caraubas/RN
2021-06-04T04:15:59.243Z,-44189,-10463,2.4,Julio Borges/PI
2021-06-02T21:38:08.686Z,-37526,-5686,1.6,Caraubas/RN
2021-05-28T21:33:44.799Z,-39516,-2735,2.1,Margem Continental/CE
2021-05-28T17:24:36.383Z,-55448,-7077,2.5,Novo Progresso/PA
2021-05-26T17:02:14.817Z,-40858,-19242,1.7,Pancas/ES
2021-05-26T14:34:03.52Z,-39549,-2791,1.9,Margem Continental/CE
2021-05-22T14:08:09.320Z,-49519,-12043,2.5,Formoso do Araguaia/TO
2021-05-18T15:20:56.712Z,-72573,-8503,4.1,Peru-Brazil Border Region
2021-05-18T05:23:18.898Z,-39567,-13063,1.8,Amargosa/BA
2021-05-17T23:27:28.870Z,-39570,-13060,1.8,Amargosa/BA
2021-05-17T17:09:23.0Z,-59484,2522,3.1,Guyana
2021-05-17T11:11:07.709Z,-57532,-11460,2.9,Juara/MT
2021-05-15T04:27:18.109Z,-50078,-6424,3.3,Cannaã dos Carajás/PA
2021-05-14T23:57:55.0Z,-50262,-7387,3.0,Rio Maria/PA
2021-05-14T18:42:16.713Z,-50618,-1138,4.3,Breves/PA
2021-05-13T20:08:34.931Z,-49456,-14214,2.6,Nova Iguacu de Goias/GO
2021-05-12T10:37:42.958Z,-40855,-19229,1.4,Pancas/ES
2021-05-09T22:43:33.229Z,-59614,2799,3.8,Guyana
2021-05-09T00:22:22.329Z,-43297,-15824,2.7,Janaúba/MG
2021-05-08T17:58:25.0Z,-59654,2852,2.7,Guyana
2021-05-08T11:55:29.739Z,-55971,-33643,3.5,Uruguay
2021-05-06T23:22:26.0Z,-61647,-522,4.0,Reg. de Rorainópolis/RR
2021-05-06T14:53:59.0Z,-51097,-28105,2.3,Esmeralda/RS
2021-05-02T13:53:34.549Z,-43971,-19685,2.3,Sao Jose da Lapa/MG
2021-05-01T07:13:31.89Z,-44765,-18834,2.7,Felixlândia/MG
2021-04-29T05:45:06.782Z,-36144,-5526,1.8,Pedra Preta/RN
2021-04-28T15:51:32.858Z,-49206,-20284,2.5,Fronteira/MG
2021-04-28T03:26:40.729Z,-61652,-520,4.7,Rg. de Rorainópolis/RR
2021-04-26T05:02:12.409Z,-48462,-21345,1.9,Monte Alto/SP
2021-04-24T20:38:23.227Z,-39509,-6541,1.9,Cariús/CE
2021-04-22T13:20:18.946Z,-38471,-4533,2.4,Ocara/CE
2021-04-22T01:04:02.399Z,-59632,2866,3.6,Guyana
2021-04-20T02:08:43.0Z,-59594,2821,3.5,Guyana
2021-04-19T20:48:08.149Z,-34855,-7436,1.3,Pitimbu/PB
2021-04-19T03:22:19.149Z,-59548,2640,3.5,Guyana
2021-04-16T03:59:04.283Z,-50994,-28683,1.5,Monte Alegre dos Campos/RS
2021-04-15T20:53:36.429Z,-52557,-17560,2.3,Mineiros/GO
2021-04-14T06:57:17.679Z,-59637,2612,3.4,Guyana
2021-04-14T06:16:54.0Z,-44780,-18822,2.6,Felixlandia/MG
2021-04-12T17:57:43.877Z,-41907,-18920,2.6,Alpercata/MG
2021-04-11T04:21:02.674Z,-71304,-9243,4.3,Peru-Brazil Border Region
2021-04-08T06:44:32.0Z,-59589,2815,3.7,Guyana
2021-04-07T11:45:46.0Z,-59574,2843,3.7,Guyana
2021-04-07T00:40:42.79Z,-49781,-6215,3.1,Parauapebas/PA
2021-04-05T17:07:37.146Z,-35871,-7342,1.4,Campina Grande/PB
2021-04-05T16:59:24.546Z,-35915,-7283,1.4,Campina Grande/PB
2021-04-04T19:06:05.661Z,-40530,-11194,1.4,Jacobina/BA
2021-04-03T14:41:01.0Z,-59523,2701,4.2,Guyana
2021-03-31T21:24:09.0Z,-59513,2687,4.3,Guyana
2021-03-30T22:29:40.0Z,-59512,2698,3.5,Guyana
2021-03-30T02:24:17.862Z,-35106,-8233,1.5,Cabo de Santo Agostinho/PE
2021-03-28T05:50:01.0Z,-59580,2579,3.0,Guyana
2021-03-27T21:35:37.39Z,-37514,-5862,2.6,Caraubas/RN
2021-03-26T15:57:41.0Z,-59560,2653,4.6,Guyana
2021-03-24T02:11:33.0Z,-59617,2806,4.1,Guyana
2021-03-19T05:39:58.233Z,-43957,-20477,2.0,Jeceaba/MG
2021-03-18T21:07:16.833Z,-40538,-11184,1.5,Jacobina/BA
2021-03-18T19:36:09.847Z,-40547,-11178,2.2,Jacobina/BA
2021-03-17T01:38:35.0Z,-49821,-21925,3.0,Guaimbê/SP
2021-03-15T20:03:25.0Z,-40460,-3239,2.1,Senador Sa/CE
2021-03-14T14:22:32.0Z,-35225,-5604,1.7,Maxaranguape/RN
2021-03-12T14:38:01.0Z,-40536,-11176,1.5,Jacobina/BA
2021-03-10T23:18:34.0Z,-60731,-912,3.9,Presidente Figueiredo/AM
2021-03-10T20:23:12.0Z,-51012,-20218,2.7,Rubineia/SP
2021-03-07T23:17:52.0Z,-37501,-5707,2.3,Caraubas/RN
2021-03-07T22:44:50.0Z,-37965,-6092,1.7,Portalegre/RN
2021-03-07T11:45:52.549Z,-43993,-19750,2.4,Sao Jose da Lapa/MG
2021-03-05T23:54:26.0Z,-59530,2700,3.5,Guyana
2021-03-03T10:24:58.359Z,-36149,-5598,2.4,Pedra Preta/RN
2021-03-03T03:43:22.0Z,-37917,-16882,3.2,Plataforma Continental/BA
2021-03-03T03:35:13.509Z,-37902,-16877,3.6,Plataforma Continental/BA
2021-02-24T17:59:52.79Z,-59568,2788,3.9,Guyana
2021-02-24T14:42:54.0Z,-59641,2832,3.6,Guyana
2021-02-22T18:00:13.0Z,-59551,2741,4.2,Guyana
2021-02-22T05:15:28.824Z,-37467,-5756,1.5,Caraubas/RN
2021-02-21T21:41:09.777Z,-37474,-5760,2.0,Caraubas/RN
2021-02-20T20:35:40.979Z,-59616,2739,3.7,Guyana
2021-02-20T19:18:24.522Z,-37389,-5456,1.6,Governador Dix-Sept Rosado/RN
2021-02-19T19:02:00.0Z,-59556,2817,2.0,Guyana
2021-02-19T18:28:15.439Z,-59604,2757,4.1,Guyana
2021-02-19T08:51:46.0Z,-59561,2816,3.4,Guyana
2021-02-19T08:40:10.48Z,-36217,-5349,1.8,Jandaira/RN
2021-02-19T08:10:43.850Z,-36212,-5352,1.6,Jandaira/RN
2021-02-18T07:06:14.0Z,-59555,2818,3.1,Guyana
2021-02-18T03:55:54.9Z,-59560,2829,4.0,Guyana
2021-02-18T03:47:41.0Z,-59555,2818,1.9,Guyana
2021-02-17T14:27:32.638Z,-35958,-8281,1.9,Caruaru/PE
