ano,mês,dia,hora,min,latit,longit,ss.s,mag,estado,cidade,
1911,3,22,15,,-12920,-38670,  0.0, 4.0,BA,ITAPARICA,
1911,3,30,11,10,-22000,-41650,  0.0, 3.7,RJ,Macaé,
1911,4,28,4,,-9980,-67810,  0.0, 0.0,AC,Rio_Branco,
1911,7,30,20,,-18350,-54700,  0.0, 3.0,MS,Coxim,
1911,8,26,21,15,-3100,-40840,  0.0, 3.4,CE,Granja Parazinho,
1912,4,18,,,-13200,-38890,  0.0, 0.0,BA,BR.JEQUIRICA,
1912,4,19,5,,-13200,-38890,  0.0, 3.7,BA,BR.JEQUIRICA,
1912,4,19,10,,-13200,-38890,  0.0, 0.0,BA,BR.JEQUIRICA,
1912,8,18,2,,-7630,-72670,  0.0, 0.0,AC,Cruzeiro_do_Sul,
1912,9,,,,-21180,-47810,  0.0, 0.0,SP,Rib.Preto,
1913,8,,,,-6040,-38460,  0.0, 0.0,CE,PEREIRO,
1914,2,10,7,20,-7630,-72670,  0.0, 0.0,AC,Cruzeiro do Sul,
1915,2,2,,,-24180,-46790,  0.0, 3.2,SP,ITANHAEM,
1915,3,20,,,-19980,-43870,  0.0, 0.0,MG,MINA M.VELHO,
1915,11,6,15,30,-12670,-38630,  0.0, 4.0,BA,I.DAS FONTES,
1916,,,,,-21260,-48690,  0.0, 0.0,SP,FERN.PRESTES,
1916,5,1,,,-7620,-72660,  0.0, 0.0,AC,CRUZ. DO SUL,
1916,6,12,10,,-13040,-39010,  0.0, 0.0,BA,NAZARÉ,
1916,7,,,,-15600,-56100,  0.0, 0.0,MT,CUIABÁ,
1917,,,,,-7260,-64790,  0.0, 0.0,AM,LABREA,
1917,,,,,-20720,-46610,  0.0, 0.0,MG,PASSOS,
1917,5,5,4,50,-21600,-41500,  0.0, 4.5,RJ,CAMPOS,
1917,11,7,20,25,-12480,-38660,  0.0, 4.3,BA,RIO FUNDO,
1917,11,7,22,,-12450,-38620,  0.0, 3.7,BA,RIO FUNDO,
1917,11,8,4,,-12450,-38620,  0.0, 0.0,BA,RIO FUNDO,
1917,12,22,21,,-12450,-38620,  0.0, 0.0,BA,RIO FUNDO,
1918,,,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1918,,,,,-23530,-46620,  0.0, 3.0,SP,SAO PAULO,
1918,1,6,,,-15600,-56100,  0.0, 0.0,MT,Cuiabá,
1918,1,12,8,,-12450,-38620,  0.0, 3.7,BA,RIO FUNDO,
1918,3,4,14,,-12450,-38620,  0.0, 0.0,BA,RIO FUNDO,
1918,3,22,0,,-12450,-38620,  0.0, 0.0,BA,RIO FUNDO,
1918,3,27,11,,-12450,-38620,  0.0, 0.0,BA,RIO FUNDO,
1918,3,29,11,,-12450,-38620,  0.0, 0.0,BA,RIO FUNDO,
1918,4,14,4,30,-12450,-38620,  0.0, 0.0,BA,RIO FUNDO,
1918,4,19,8,,-12450,-38620,  0.0, 0.0,BA,RIO FUNDO,
1918,6,,,,-12450,-38620,  0.0, 0.0,BA,RIO FUNDO,
1918,8,29,,,-3690,-40360,  0.0, 0.0,CE,SOBRAL,
1919,,,,,-10910,-37020,  0.0, 0.0,SE,ARACAJU,
1919,3,12,8,45,-16000,-59000,  0.0, 3.0,MT,Porto Esperidião,
1919,5,8,,,-4360,-39320,  0.0, 0.0,CE,CANINDÉ,
1919,6,5,1,20,-21030,-44750,  0.0, 3.2,MG,Bom_Sucesso Ibituruna,
1919,6,14,,,-18420,-49220,  0.0, 0.0,GO,Sta.Rita_Paranaiba,
1919,6,,7,,-17220,-46880,  0.0, 0.0,MG,Paracatu,
1919,7,16,11,,-15600,-56100,  0.0, 0.0,MT,CUIABÁ,
1919,7,29,6,,-12680,-38700,  0.0, 0.0,BA,S.B.DASLAJES,
1919,8,4,,,-4360,-39320,  0.0, 0.0,CE,CANINDÉ,
1919,8,5,6,,-25010,-47940,  0.0, 0.0,SP,CANANEIA,
1919,9,,,,-17300,-46850,  0.0, 2.8,MG,PARACATU,
1919,11,9,11,,-12750,-38680,  0.0, 3.8,BA,ACUPE,
1919,11,10,,,-12590,-38620,  0.0, 3.6,BA,SANTO AMARO,
1919,11,11,20,55,-12680,-38700,  0.0, 0.0,BA,S.B.DASLAJES,
1919,11,13,,,-12550,-38700,  0.0, 3.5,BA,SANTO AMARO,
1919,11,16,6,55,-12670,-38680,  0.0, 3.5,BA,S.B.DASLAJES,
1919,11,23,1,20,-12650,-38620,  0.0, 4.2,BA,M.RECONCAVO,
1919,11,24,2,50,-3870,-38920,  0.0, 4.6,CE,Maranguape,
1919,11,28,19,30,-21030,-44750,  0.0, 0.0,MG,BOM SUCESSO,
1920,1,31,8,10,-21030,-44750,  0.0, 4.0,MG,BOM SUCESSO,
1920,1,31,20,8,-21030,-44750,  0.0, 0.0,MG,BOM SUCESSO,
1920,2,1,1,35,-21030,-44750,  0.0, 3.2,MG,BOM SUCESSO,
1920,2,9,13,20,-21030,-44750,  0.0, 3.0,MG,BOM SUCESSO,
1920,2,16,22,30,-4350,-39700,  0.0, 3.8,CE,Canindé Sta.Quitéria,
1920,2,17,8,30,-21100,-44920,  0.0, 0.0,MG,PEDRA NEGRA,
1920,2,18,12,,-21030,-44750,  0.0, 0.0,MG,BOM SUCESSO,
1920,2,21,,,-4360,-39320,  0.0, 0.0,CE,CANINDÉ,
1920,3,11,19,15,-21030,-44750,  0.0, 3.0,MG,BOM SUCESSO,
1921,1,21,,,-4100,-59350,  0.0, 0.0,AM,IG.PERSEVER.,
1921,5,12,,,-25430,-49270,  0.0, 0.0,PR,Curitiba,
1922,,,,,-1920,-55500,  0.0, 0.0,PA,ÓBIDOS,
1922,,,,,-9380,-36240,  0.0, 0.0,AL,VIÇOSA,
1922,1,26,23,,-20680,-44580,  0.0, 0.0,MG,ENTRE RIOS,
1922,1,27,,,-20680,-44580,  0.0, 0.0,MG,ENTRE RIOS,
1922,1,27,3,50,-22170,-47040,  0.0, 5.1,SP,Pinhal e S.J.Boa Vista,
1922,4,1,3,,-21710,-57890, 50.0, 0.0,MS,Porto Murtinho,
