#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
usp2021brko|2021-01-24T18:11:02.474982|-61.436424|-54.759819|10.0|jroberto||USP|usp2021brko|mb|4.763370303|jroberto|South Shetland Islands
usp2021bqyv|2021-01-24T12:14:44.958459|-61.662777|-55.089111|10.0|jroberto||USP|usp2021bqyv|mb|5.402767321|jroberto|South Shetland Islands
usp2021bqmb|2021-01-24T05:47:53.916759|-51.220440|162.013748|10.0|jroberto||USP|usp2021bqmb|mb|5.44406377|jroberto|Auckland Islands, N.Z. Region
usp2021bqjg|2021-01-24T04:23:30.06234|-10.106204|-36.934147|0.0|jroberto||USP|usp2021bqjg|mR|1.779368161|jroberto|Canhoba/SE
usp2021bqav|2021-01-24T00:07:33.924016|-33.215023|-70.089554|10.0|jroberto||USP|usp2021bqav|mb|5.961270269|jroberto|Chile-Argentina Border Region
usp2021bpzv|2021-01-23T23:36:51.783161|-61.657005|-55.608936|10.0|jroberto||USP|usp2021bpzv|mB|6.941328183|jroberto|South Shetland Islands
usp2021bpva|2021-01-23T21:12:16.593626|3.294148|-74.745041|21.3916626|jroberto||USP|usp2021bpva|mb|5.11034865|jroberto|Colombia
usp2021bpda|2021-01-23T12:06:18.855671|-58.609303|-25.525787|10.0|jroberto||USP|usp2021bpda|mb|5.132678655|jroberto|South Sandwich Islands Region
usp2021bpbo|2021-01-23T11:22:55.387741|-24.144333|-67.071144|182.0800171|jroberto||USP|usp2021bpbo|mb|4.549649543|jroberto|Chile-Argentina Border Region
usp2021boox|2021-01-23T04:58:14.334795|14.002228|-90.907539|50.06023407|jroberto||USP|usp2021boox|mb|4.979229229|jroberto|Guatemala
usp2021bolr|2021-01-23T03:19:49.862644|-6.285950|147.736206|25.31879044|jroberto||USP|usp2021bolr|mb|5.032946579|jroberto|Eastern New Guinea Reg., P.N.G.
usp2021bnrg|2021-01-22T17:01:13.613881|-5.687037|-37.488121|0.0|jroberto||USP|usp2021bnrg|mR|2.388078936|jroberto|Caraubas/RN
usp2021bmxi|2021-01-22T06:57:27.592017|35.445599|26.593927|37.0|jroberto||USP|usp2021bmxi|mb|4.510930158|jroberto|Crete, Greece
usp2021bmrw|2021-01-22T04:11:55.84|-19.389667|-45.718167|0.0|jroberto||USP|usp2021bmrw|mR|3.020568183|jroberto|Dores do Indaia/MG
usp2021blmo|2021-01-21T12:23:05.221929|4.841337|127.662727|114.3408813|jroberto||USP|usp2021blmo|mB|6.971305837|jroberto|Talaud Islands, Indonesia
usp2021blij|2021-01-21T10:15:34.404011|-2.299769|-79.356277|84.22601318|jroberto||USP|usp2021blij|mb|4.844039362|jroberto|Near Coast of Ecuador
